record_id,student_id,student_name,lecture_id,lecture_name,lecturer_id,lecturer_name,course_id,course_code,course_name,group_id,group_name,academic_week,timestamp,time,time_minute,emotion,confidence,engagement_score,focus_score,attendance_status,is_present,left_room,absence_duration_minutes,source_type,model_name
56,S016,Student 16,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:14:49Z,08:14,10,Confused,0.88,0.42,0.85,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
57,S017,Student 17,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:12:05Z,08:12,10,Bored,0.88,0.13,0.78,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
58,S018,Student 18,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:10:37Z,08:10,10,Confused,0.78,0.5,0.63,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
59,S019,Student 19,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:13:53Z,08:13,10,Happy,0.81,0.98,0.65,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
60,S020,Student 20,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:12:42Z,08:12,10,Happy,0.76,0.89,0.94,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
61,S001,Linda,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:17:43Z,08:17,15,Neutral,0.86,0.63,0.78,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
62,S002,Rawan,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:15:29Z,08:15,15,Happy,0.77,1,0.74,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
63,S003,Student 3,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:17:19Z,08:17,15,Happy,0.91,1,0.9,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
64,S004,Student 4,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:18:29Z,08:18,15,Neutral,0.94,0.67,0.75,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
65,S005,Student 5,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:19:13Z,08:19,15,Happy,0.85,0.92,0.84,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
66,S006,Student 6,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:16:36Z,08:16,15,Neutral,0.77,0.7,0.64,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
67,S007,Student 7,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:19:45Z,08:19,15,Neutral,0.84,0.7,0.6,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
68,S008,Student 8,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:16:09Z,08:16,15,Happy,0.86,0.96,0.66,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
69,S009,Student 9,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:16:14Z,08:16,15,Happy,0.95,0.89,0.76,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
70,S010,Student 10,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:17:26Z,08:17,15,Neutral,0.76,0.75,0.9,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
71,S011,Student 11,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:15:53Z,08:15,15,Neutral,0.93,0.62,0.61,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
72,S012,Student 12,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:19:30Z,08:19,15,Happy,0.94,0.89,0.8,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
73,S013,Student 13,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:16:40Z,08:16,15,Neutral,0.79,0.69,0.71,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
74,S014,Student 14,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:19:10Z,08:19,15,Neutral,0.81,0.63,0.88,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
75,S015,Student 15,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:16:19Z,08:16,15,Neutral,0.91,0.67,0.92,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
76,S016,Student 16,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:15:01Z,08:15,15,Confused,0.8,0.44,0.75,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
77,S017,Student 17,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:15:52Z,08:15,15,Happy,0.88,0.91,0.94,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
78,S018,Student 18,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:19:31Z,08:19,15,Happy,0.93,0.97,0.72,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
79,S019,Student 19,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:16:23Z,08:16,15,Neutral,0.91,0.6,0.63,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
80,S020,Student 20,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:16:44Z,08:16,15,Confused,0.94,0.44,0.62,Absent,FALSE,TRUE,10,mock_video,EduPulse_v1.0
81,S001,Linda,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:24:57Z,08:24,20,Happy,0.81,0.95,0.82,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
82,S002,Rawan,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:22:51Z,08:22,20,Neutral,0.8,0.67,0.61,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
83,S003,Student 3,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:24:55Z,08:24,20,Neutral,0.97,0.67,0.67,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
84,S004,Student 4,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:24:58Z,08:24,20,Bored,0.86,0.23,0.89,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
85,S005,Student 5,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:22:29Z,08:22,20,Confused,0.87,0.4,0.62,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
86,S006,Student 6,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:20:49Z,08:20,20,Neutral,0.94,0.62,0.77,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
87,S007,Student 7,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:24:11Z,08:24,20,Happy,0.88,0.95,0.84,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
88,S008,Student 8,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:22:55Z,08:22,20,Bored,0.78,0.16,0.71,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
89,S009,Student 9,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:23:36Z,08:23,20,Neutral,0.93,0.6,0.69,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
90,S010,Student 10,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:23:33Z,08:23,20,Happy,0.83,0.91,0.68,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
91,S011,Student 11,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:22:52Z,08:22,20,Neutral,0.87,0.7,0.71,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
92,S012,Student 12,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:24:36Z,08:24,20,Confused,0.87,0.43,0.72,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
93,S013,Student 13,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:21:00Z,08:21,20,Neutral,0.98,0.71,0.78,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
94,S014,Student 14,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:24:07Z,08:24,20,Neutral,0.86,0.63,0.92,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
95,S015,Student 15,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:22:21Z,08:22,20,Neutral,0.93,0.66,0.89,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
96,S016,Student 16,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:21:22Z,08:21,20,Confused,0.77,0.39,0.65,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
97,S017,Student 17,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:21:39Z,08:21,20,Neutral,0.84,0.65,0.86,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
98,S018,Student 18,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:20:36Z,08:20,20,Confused,0.78,0.34,0.79,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
99,S019,Student 19,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:24:33Z,08:24,20,Confused,0.95,0.32,0.79,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
100,S020,Student 20,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:23:31Z,08:23,20,Happy,0.93,0.95,0.85,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
101,S001,Linda,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:26:55Z,08:26,25,Neutral,0.82,0.63,0.91,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
102,S002,Rawan,L001,CS301 Lecture 1 - Part A,T01,Dr. Ahmed,1,CS301,Artificial Intelligence,1,Group A,1,2026-02-09T08:28:22Z,08:28,25,Happy,0.94,0.98,0.7,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
